"Parasite.species","Host.no","Stage","hosts","hs","var.hs","stage2","maxLCL"
"Abbreviata antarctica",1,"1larv",2,2,0,"larva",2
"Abbreviata antarctica",2,"adult",12,2.74242424242424,0.312442607897153,"adult",2
"Abbreviata caucasica",1,"1larv",2,1,NA,"larva",2
"Abbreviata caucasica",2,"adult",4,2.33333333333333,0.555555555555556,"adult",2
"Abbreviata kazachstanica",1,"1larv",26,3.25263157894737,0.904598337950138,"larva",3
"Abbreviata kazachstanica",2,"2larv",2,5,0,"larva",3
"Abbreviata kazachstanica",3,"adult",1,1,NA,"adult",3
"Abbreviata turkomanica",1,"1larv",1,NA,NA,"larva",2
"Abbreviata turkomanica",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2
"Acanthobothrium brevissime",1,"1larv",2,NA,NA,"larva",2
"Acanthobothrium brevissime",2,"adult",1,1,NA,"adult",2
"Acanthocephalus anguillae",1,"1larv",1,1,NA,"larva",2
"Acanthocephalus anguillae",2,"adult",7,2.52380952380952,0.91609977324263,"adult",2
"Acanthocephalus anthuris",1,"1larv",1,1,NA,"larva",2
"Acanthocephalus anthuris",2,"adult",5,2.5,1.65,"adult",2
"Acanthocephalus clavula",1,"1larv",3,3,2,"larva",2
"Acanthocephalus clavula",2,"adult",4,3.66666666666667,0.555555555555556,"adult",2
"Acanthocephalus dirus",1,"1larv",5,1.8,0.16,"larva",2
"Acanthocephalus dirus",2,"adult",6,3.2,0.96,"adult",2
"Acanthocephalus galaxii",1,"1larv",1,1,NA,"larva",2
"Acanthocephalus galaxii",2,"adult",4,3.5,1.25,"adult",2
"Acanthocephalus lucii",1,"1larv",1,1,NA,"larva",2
"Acanthocephalus lucii",2,"adult",7,3.73333333333333,0.328888888888889,"adult",2
"Acanthocephalus ranae",1,"1larv",1,1,NA,"larva",2
"Acanthocephalus ranae",2,"adult",10,3.08888888888889,1.14765432098765,"adult",2
"Acanthocephalus rhinensis",1,"1larv",1,1,NA,"larva",2
"Acanthocephalus rhinensis",2,"adult",1,1,NA,"adult",2
"Acanthocephalus sp.",1,"1larv",1,1,NA,"larva",2
"Acanthocephalus sp.",2,"adult",4,3.66666666666667,0.555555555555556,"adult",2
"Acanthocephalus tumescens",1,"1larv",1,1,NA,"larva",3
